egg,50,1200
plantain,200,400
rice,1000,800
cassava,500,300
yam,600,350
cocoyam,400,320
beans,1000,600
groundnut,1000,700
palm oil,1000,1000
tomato,100,500
onion,120,450
garlic,15,2000
ginger,20,1800
pepper,10,3000
scotch bonnet,8,3500
bell pepper,150,800
carrot,80,600
cabbage,800,400
lettuce,300,550
cucumber,200,450
okra,50,700
egusi,1000,1500
bitter leaf,100,400
water leaf,100,350
spinach,100,500
sweet potato,400,380
potato,150,500
maize,1000,450
millet,1000,600
sorghum,1000,550
banana,150,380
pineapple,900,500
mango,250,450
papaya,800,400
orange,180,480
avocado,200,800
coconut,400,600
beef,1000,1200
chicken,1000,900
fish,1000,900
goat meat,1000,1100
pork,1000,1000
crayfish,1000,2500
stockfish,1000,3000
smoked fish,1000,2000
milk,1000,800
butter,1000,1800
cheese,1000,2200
sugar,1000,700
salt,1000,300
